date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:00	15798/15798	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:25:35%20GMT	http://www.w3schools.com/sql/trysql.asp?filename=trysql_select_all	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/trysql786e.html	(from http://www.w3schools.com/sql/)
10:05:00	2561/2561	---M--	200	added ('OK')	image/gif	etag:%22959d4114cbacf1:0%22	http://www.w3schools.com/images/w3cert.gif	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/images/w3cert.gif	(from http://www.w3schools.com/sql/)
10:05:00	3235/3235	---M--	200	added ('OK')	image/gif	etag:%2296ad478671ecf1:0%22	http://www.w3schools.com/images/colorpicker.gif	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/images/colorpicker.gif	(from http://www.w3schools.com/sql/)
10:05:00	1860/1860	---M--	200	added ('OK')	image/gif	etag:%2221638653cbacf1:0%22	http://www.w3schools.com/images/w3schoolscom_gray.gif	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/images/w3schoolscom_gray.gif	(from http://www.w3schools.com/sql/)
10:05:01	38210/38210	---M-Z	200	added ('OK')	application/x-javascript	etag:%22801629d0f54ad21:0%22	http://www.w3schools.com/lib/w3schools_footer.js	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/lib/w3schools_footer.js	(from http://www.w3schools.com/sql/)
10:05:01	2169/2169	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2002%20Dec%202016%2009:06:13%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/dparrado/Desktop/Aprobar/Aprobar/translate.google.com/translate_a/element.4aa0d8.delayed	(from http://www.w3schools.com/sql/)
10:05:02	15814/15814	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:39:42%20GMT	http://www.w3schools.com/sql/trysql.asp?filename=trysql_comment_single_1	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/trysqlc799.html	(from http://www.w3schools.com/sql/sql_comments.asp)
10:05:02	15821/15821	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:40:38%20GMT	http://www.w3schools.com/sql/trysql.asp?filename=trysql_comment_single_2	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/trysql9808.html	(from http://www.w3schools.com/sql/sql_comments.asp)
10:05:02	15825/15825	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:47:21%20GMT	http://www.w3schools.com/sql/trysql.asp?filename=trysql_comment_single_3	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/trysqled2f.html	(from http://www.w3schools.com/sql/sql_comments.asp)
10:05:02	15813/15813	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:35:32%20GMT	http://www.w3schools.com/sql/trysql.asp?filename=trysql_comment_multi_1	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/trysql1e86.html	(from http://www.w3schools.com/sql/sql_comments.asp)
